age group,gender,year,involvement rate,drivers,severity of crash
55-64,Female,2014,7.48,"1,401",Fatal crash
65-74,Female,2014,7.66,933,Fatal crash
>74,Female,2014,11.21,861,Fatal crash
<16,Female,2014,*,"15,000",Injury crash
17 - 20,Female,2014,2850,"162,000",Injury crash
21-25,Female,2014,2140,"152,000",Injury crash
25-35,Female,2014,1629,"306,000",Injury crash
35-45,Female,2014,1254,"227,000",Injury crash
45-55,Female,2014,1062,"211,000",Injury crash
55-65,Female,2014,851,"159,000",Injury crash
65-75,Female,2014,607,"74,000",Injury crash
>74,Female,2014,584,"45,000",Injury crash
<16,Male,2014,*,102,Fatal crash
16 - 20,Male,2014,45.28,"2,697",Fatal crash
21-24,Male,2014,48.31,"3,510",Fatal crash
25-34,Male,2014,36.17,"6,712",Fatal crash
35-44,Male,2014,28.99,"5,154",Fatal crash
45-54,Male,2014,28.63,"5,616",Fatal crash
55-64,Male,2014,25.4,"4,601",Fatal crash
65-74,Male,2014,20.46,"2,383",Fatal crash
>74,Male,2014,25.79,"1,789",Fatal crash
<16,Male,2014,*,"20,000",Injury crash
17 - 20,Male,2014,3107,"185,000",Injury crash
21-25,Male,2014,2523,"183,000",Injury crash
25-35,Male,2014,1932,"358,000",Injury crash
35-45,Male,2014,1567,"279,000",Injury crash
45-55,Male,2014,1332,"261,000",Injury crash
55-65,Male,2014,1141,"207,000",Injury crash
65-75,Male,2014,896,"104,000",Injury crash
>74,Male,2014,887,"62,000",Injury crash
<16,Female,2013,*,37,Fatal crash
16 - 20,Female,2013,19.12,"1,139",Fatal crash
21-24,Female,2013,16.7,"1,189",Fatal crash
25-34,Female,2013,12.19,"2,254",Fatal crash
35-44,Female,2013,10.13,"1,835",Fatal crash
45-54,Female,2013,8.84,"1,775",Fatal crash
55-64,Female,2013,7.81,"1,430",Fatal crash
65-74,Female,2013,7.99,919,Fatal crash
>74,Female,2013,11.15,841,Fatal crash
<16,Female,2013,*,"4,000",Injury crash
17 - 20,Female,2013,2877,"171,000",Injury crash
21-25,Female,2013,2185,"156,000",Injury crash
25-35,Female,2013,1555,"287,000",Injury crash
35-45,Female,2013,1250,"226,000",Injury crash
45-55,Female,2013,993,"199,000",Injury crash
55-65,Female,2013,857,"157,000",Injury crash
65-75,Female,2013,688,"79,000",Injury crash
>74,Female,2013,675,"51,000",Injury crash
<16,Male,2013,*,102,Fatal crash
16 - 20,Male,2013,44.23,"2,767",Fatal crash
21-24,Male,2013,47.41,"3,440",Fatal crash
25-34,Male,2013,35.96,"6,549",Fatal crash
35-44,Male,2013,30.08,"5,385",Fatal crash
45-54,Male,2013,28.25,"5,601",Fatal crash
55-64,Male,2013,25.45,"4,516",Fatal crash
65-74,Male,2013,22.25,"2,454",Fatal crash
>74,Male,2013,25.83,"1,745",Fatal crash
<16,Male,2013,*,"6,000",Injury crash
17 - 20,Male,2013,2873,"180,000",Injury crash
21-25,Male,2013,2522,"183,000",Injury crash
25-35,Male,2013,1851,"337,000",Injury crash
35-45,Male,2013,1464,"262,000",Injury crash
45-55,Male,2013,1330,"264,000",Injury crash
55-65,Male,2013,1104,"196,000",Injury crash
65-75,Male,2013,900,"99,000",Injury crash
>74,Male,2013,849,"57,000",Injury crash
<16,Female,2012,*,35,Fatal crash
16 - 20,Female,2012,21.84,"1,278",Fatal crash
21-24,Female,2012,17.38,"1,226",Fatal crash
25-34,Female,2012,12.41,"2,291",Fatal crash
35-44,Female,2012,10.06,"1,843",Fatal crash
45-54,Female,2012,9.03,"1,843",Fatal crash
55-64,Female,2012,7.76,"1,406",Fatal crash
65-74,Female,2012,7.87,872,Fatal crash
>74,Female,2012,10.66,798,Fatal crash
<16,Female,2012,*,"4,000",Injury crash
17 - 20,Female,2012,2850,"167,000",Injury crash
21-25,Female,2012,2024,"143,000",Injury crash
25-35,Female,2012,1540,"284,000",Injury crash
35-45,Female,2012,1255,"230,000",Injury crash
45-55,Female,2012,1026,"209,000",Injury crash
55-65,Female,2012,871,"158,000",Injury crash
65-75,Female,2012,664,"73,000",Injury crash
>74,Female,2012,618,"46,000",Injury crash
<16,Male,2012,*,86,Fatal crash
16 - 20,Male,2012,48.53,"2,962",Fatal crash
21-24,Male,2012,49.33,"3,539",Fatal crash
25-34,Male,2012,36.89,"6,726",Fatal crash
35-44,Male,2012,30.33,"5,521",Fatal crash
45-54,Male,2012,28.81,"5,817",Fatal crash
55-64,Male,2012,25.65,"4,522",Fatal crash
65-74,Male,2012,22.2,"2,367",Fatal crash
>74,Male,2012,26.09,"1,755",Fatal crash
<16,Male,2012,*,"5,000",Injury crash
17 - 20,Male,2012,3052,"186,000",Injury crash
21-25,Male,2012,2473,"177,000",Injury crash
25-35,Male,2012,1910,"348,000",Injury crash
35-45,Male,2012,1526,"278,000",Injury crash
45-55,Male,2012,1398,"282,000",Injury crash
55-65,Male,2012,1121,"198,000",Injury crash
65-75,Male,2012,945,"101,000",Injury crash
>74,Male,2012,882,"59,000",Injury crash
<16,Female,2011,*,29,Fatal crash
16 - 20,Female,2011,21.67,"1,304",Fatal crash
21-24,Female,2011,15.84,"1,123",Fatal crash
25-34,Female,2011,11.85,"2,203",Fatal crash
35-44,Female,2011,9.68,"1,796",Fatal crash
45-54,Female,2011,8.6,"1,785",Fatal crash
55-64,Female,2011,7.3,"1,310",Fatal crash
65-74,Female,2011,8.09,845,Fatal crash
>74,Female,2011,11.63,861,Fatal crash
<16,Female,2011,*,"4,000",Injury crash
17 - 20,Female,2011,2678,"161,000",Injury crash
21-25,Female,2011,2032,"144,000",Injury crash
25-35,Female,2011,1450,"269,000",Injury crash
35-45,Female,2011,1184,"220,000",Injury crash
45-55,Female,2011,932,"193,000",Injury crash
55-65,Female,2011,813,"146,000",Injury crash
65-75,Female,2011,624,"65,000",Injury crash
>74,Female,2011,559,"41,000",Injury crash
<16,Male,2011,*,86,Fatal crash
16 - 20,Male,2011,47.92,"3,002",Fatal crash
21-24,Male,2011,46.88,"3,364",Fatal crash
25-34,Male,2011,34.67,"6,346",Fatal crash
35-44,Male,2011,28.76,"5,287",Fatal crash
45-54,Male,2011,28.05,"5,728",Fatal crash
55-64,Male,2011,24.43,"4,262",Fatal crash
65-74,Male,2011,21,"2,115",Fatal crash
>74,Male,2011,25.06,"1,667",Fatal crash
<16,Male,2011,*,"3,000",Injury crash
17 - 20,Male,2011,2905,"182,000",Injury crash
21-25,Male,2011,2151,"154,000",Injury crash
25-35,Male,2011,1725,"316,000",Injury crash
35-45,Male,2011,1471,"270,000",Injury crash
45-55,Male,2011,1250,"255,000",Injury crash
55-65,Male,2011,1062,"185,000",Injury crash
65-75,Male,2011,851,"86,000",Injury crash
>74,Male,2011,819,"54,000",Injury crash
<16,Female,2010,*,46,Fatal crash
16 - 20,Female,2010,22.34,"1,376",Fatal crash
21-24,Female,2010,17.69,"1,233",Fatal crash
25-34,Female,2010,12.64,"2,296",Fatal crash
35-44,Female,2010,10.39,"1,938",Fatal crash
45-54,Female,2010,8.91,"1,855",Fatal crash
55-64,Female,2010,7.93,"1,374",Fatal crash
65-74,Female,2010,7.96,797,Fatal crash
>74,Female,2010,12.47,927,Fatal crash
<16,Female,2010,*,"4,000",Injury crash
17 - 20,Female,2010,2725,"168,000",Injury crash
21-25,Female,2010,2227,"155,000",Injury crash
25-35,Female,2010,1466,"266,000",Injury crash
35-45,Female,2010,1214,"226,000",Injury crash
45-55,Female,2010,1002,"209,000",Injury crash
55-65,Female,2010,740,"128,000",Injury crash
65-75,Female,2010,616,"62,000",Injury crash
>74,Female,2010,633,"47,000",Injury crash
<16,Male,2010,*,113,Fatal crash
16 - 20,Male,2010,48.69,"3,128",Fatal crash
21-24,Male,2010,47.72,"3,375",Fatal crash
25-34,Male,2010,34.61,"6,269",Fatal crash
35-44,Male,2010,28.86,"5,394",Fatal crash
45-54,Male,2010,27.46,"5,662",Fatal crash
55-64,Male,2010,24.76,"4,203",Fatal crash
65-74,Male,2010,21.74,"2,105",Fatal crash
>74,Male,2010,26.69,"1,761",Fatal crash
<16,Male,2010,*,"5,000",Injury crash
17 - 20,Male,2010,2880,"185,000",Injury crash
21-25,Male,2010,2488,"176,000",Injury crash
25-35,Male,2010,1654,"300,000",Injury crash
35-45,Male,2010,1482,"277,000",Injury crash
45-55,Male,2010,1221,"252,000",Injury crash
55-65,Male,2010,1017,"173,000",Injury crash
65-75,Male,2010,912,"88,000",Injury crash
>74,Male,2010,924,"61,000",Injury crash
